dong_cluster,month,complaints_per_1000_totalpop_month,outflow_next,complaint_count
운중동,202401,0.3367003367003367,-0.999048525214082,13.0
운중동,202402,0.3885003885003885,-0.4440215667618141,15.0
운중동,202403,0.777000777000777,-0.0317158261972724,30.0
운중동,202404,0.5698005698005698,-0.4281636536631779,22.0
운중동,202405,1.9166019166019168,0.0317158261972724,74.0
위례동,202401,0.0,-0.6766086716376691,0.0
위례동,202402,0.0,-1.96078431372549,0.0
위례동,202403,0.0,-2.1817177575255453,0.0
위례동,202404,0.0,-0.8008837337752003,0.0
위례동,202405,0.0,-0.2347417840375587,0.0
은행동,202401,2.9687605424735173,0.2398081534772182,88.0
은행동,202402,2.9687605424735173,0.0639488409272582,88.0
은행동,202403,3.103704203495041,0.3357314148681055,92.0
은행동,202404,2.6651373051750893,0.7993605115907274,79.0
은행동,202405,9.20990486471898,-0.35171862509992,273.0
이매동,202401,0.4021232105517131,1.1662726556343577,15.0
이매동,202402,0.187657498257466,0.425531914893617,7.0
이매동,202403,0.4557396386252748,0.1260835303388495,17.0
이매동,202404,0.3216985684413704,0.3467297084318361,12.0
이매동,202405,2.332314621199936,0.3624901497241923,87.0
정자동,202401,0.940127320099922,0.3980036641607176,70.0
정자동,202402,0.5372156114856698,0.3221934424158191,40.0
정자동,202403,1.020709661822773,0.1705729989260218,76.0
정자동,202404,0.993848881248489,0.1453029250110556,74.0
정자동,202405,3.5053318649439955,-0.1516204434897972,261.0
중앙동,202401,0.5441354292623942,-0.2543604651162791,9.0
중앙동,202402,2.2974607013301087,0.5450581395348837,38.0
중앙동,202403,1.5114873035066505,0.2543604651162791,25.0
중앙동,202404,0.7859733978234582,0.0726744186046511,13.0
중앙동,202405,3.385731559854897,-0.0726744186046511,56.0
태평동,202401,1.4364327911305332,0.7024445068839561,71.0
태평동,202402,0.6878692239216638,1.2550341856326683,34.0
태평동,202403,0.5462490895848506,1.2082045518404048,27.0
태평동,202404,0.7485635672088694,0.2060503886859604,37.0
태평동,202405,3.742817836044347,0.6649807998501451,185.0
판교동,202401,0.9497036924479564,0.48661800486618,25.0
판교동,202402,0.7217748062604468,0.1351716680183833,19.0
판교동,202403,0.4558577723750189,-0.4595836712625033,12.0
판교동,202404,0.8357392493542015,0.0270343336036766,22.0
판교동,202405,4.2926606898647615,-0.4325493376588267,113.0
하대원동,202401,2.311604253351826,0.0817438692098092,45.0
하대원동,202402,3.287614938100375,-0.4087193460490463,64.0
하대원동,202403,2.414342220167463,-0.217983651226158,47.0
하대원동,202404,1.6951764524580055,-0.2724795640326975,33.0
하대원동,202405,1.6438074690501876,-0.0817438692098092,32.0
