topic_group,horizon_months,dong_cluster,end_month,topic_share_window,outflow_window
불법주정차,3,삼평동,202403,0.07414190747524076,-0.19748210318439888
불법주정차,3,삼평동,202404,0.09574684574684572,-0.2550810499465152
불법주정차,3,삼평동,202405,0.07539155337082795,-0.18102526125236562
불법주정차,3,삼평동,202406,0.06525440369879455,-0.2139389451164321
불법주정차,3,상대원동,202403,0.06022678896242106,0.14047762392133253
불법주정차,3,상대원동,202404,0.04619760826657373,0.11539233393538029
불법주정차,3,상대원동,202405,0.03222420281243807,0.30102347983142685
불법주정차,3,상대원동,202406,0.0284363240245593,0.5719446116797111
불법주정차,3,서현동,202403,0.061221192498093435,0.3762798943521835
불법주정차,3,서현동,202405,0.037126716790714505,0.14110496038206882
불법주정차,3,서현동,202406,0.0413578829413853,0.09406997358804588
불법주정차,3,성남동,202403,0.02326364765574007,-0.3075030750307503
불법주정차,3,성남동,202404,0.029826836311484067,-0.41410414104141036
불법주정차,3,성남동,202405,0.020042872109606133,-0.15990159901599013
불법주정차,3,성남동,202406,0.0189255705438741,-0.0943009430094301
불법주정차,3,수내동,202403,0.09188551759306474,0.6955749593014652
불법주정차,3,수내동,202404,0.0819525076600548,0.7153075822603719
불법주정차,3,수내동,202405,0.06351725586149364,0.6659760248631049
불법주정차,3,수내동,202406,0.027428606565297164,0.6807754920822852
불법주정차,3,수진동,202403,0.08922782198644263,0.7735433964942162
불법주정차,3,수진동,202404,0.0866474795046223,0.8870910510254774
불법주정차,3,수진동,202405,0.05091818148024233,0.44709388971684066
불법주정차,3,신흥동,202405,0.03261454910551293,-1.8556103218324151
불법주정차,3,신흥동,202406,0.0229797394707033,-0.5444412228987469
불법주정차,3,야탑동,202406,0.09527001683864422,0.4195174141960188
불법주정차,3,운중동,202404,0.15508935508935506,-0.4228776826302993
불법주정차,3,운중동,202406,0.21919191919191916,-0.33301617507136066
불법주정차,3,은행동,202406,0.019370924434215498,0.20783373301358912
불법주정차,3,이매동,202403,0.10905695611577959,0.7407407407407408
불법주정차,3,이매동,202404,0.11461251167133517,0.5726293669556081
불법주정차,3,이매동,202405,0.07848771692585077,0.2994483845547675
불법주정차,3,이매동,202406,0.0601053639846743,0.278434462831626
불법주정차,3,정자동,202403,0.06434837092731827,0.3264051214016468
불법주정차,3,정자동,202405,0.0599331182362035,0.28850001052919744
불법주정차,3,정자동,202406,0.04725195881591363,0.10529197464569251
불법주정차,3,태평동,202403,0.12270500271052602,0.8991289688114638
불법주정차,3,태평동,202404,0.13602818504779282,1.0552277481190098
불법주정차,3,태평동,202405,0.06920253586920251,0.8897630420530112
불법주정차,3,태평동,202406,0.043211632685316866,0.6930785801255035
불법주정차,3,판교동,202404,0.09205741626794256,0.32441200324412006
불법주정차,3,판교동,202405,0.06834060210865049,0.018022889069117805
불법주정차,3,하대원동,202403,0.03941587864460203,0.12715712988192548
불법주정차,3,하대원동,202404,0.034702073930797335,-0.18165304268846505
불법주정차,3,하대원동,202406,0.04809493107365446,-0.23614895549500456
불법주정차,6,구미동,202406,0.0959266300128127,0.07328072153325817
불법주정차,6,금곡동,202406,0.2258088014136401,-0.23072486060373007
불법주정차,6,금광동,202406,0.07070277969983296,0.07119126720455624
불법주정차,6,백현동,202406,0.09711399711399706,-0.017196313110469114
불법주정차,6,삼평동,202406,0.06969815558701765,-0.2057105241504155
불법주정차,6,상대원동,202406,0.04433155649349019,0.35621111780052184
불법주정차,6,성남동,202406,0.021094609099807083,-0.20090200902009017
불법주정차,6,수내동,202406,0.05965706207918095,0.6881752256918752
불법주정차,6,이매동,202406,0.08458116005022694,0.5095876017861833
불법주정차,6,태평동,202406,0.08295831769792143,0.7961037744684837
생활환경,3,금광동,202404,0.020475938487195502,0.18984337921214997
생활환경,3,금광동,202406,0.016855464080204233,0.22543901281442805
생활환경,3,백현동,202406,0.06760461760461757,-0.24762690879075522
생활환경,3,상대원동,202406,0.020141065830720967,0.24081878386514152
생활환경,3,정자동,202406,0.0233832230399736,0.11371533261734791
시설노후/파손,3,고등동,202403,0.861111111111111,-1.0117582718074924
시설노후/파손,3,고등동,202404,0.861111111111111,-0.5058791359037462
시설노후/파손,3,고등동,202405,0.941919191919192,-0.054689636313918516
시설노후/파손,3,고등동,202406,0.9696969696969697,0.12305168170631665
시설노후/파손,3,구미동,202403,0.8410341975414278,0.04133784291619692
시설노후/파손,3,구미동,202404,0.8690846884250183,-0.003757985719654272
시설노후/파손,3,구미동,202405,0.9043256149702925,0.033821871476888386
시설노후/파손,3,구미동,202406,0.879549114331723,0.10522360015031944
시설노후/파손,3,금곡동,202403,0.5678904428904429,-0.29481509966032177
시설노후/파손,3,금곡동,202404,0.5981934731934732,-0.12818047811318337
시설노후/파손,3,금곡동,202405,0.7957741183547635,-0.19227071716977504
시설노후/파손,3,금곡동,202406,0.8775048875855327,-0.16663462154713837
시설노후/파손,3,금광동,202403,0.9040973983281676,0.011865211200759377
시설노후/파손,3,금광동,202404,0.902471382068005,0.19379844961240308
시설노후/파손,3,금광동,202405,0.9291937731520982,0.28080999841797183
시설노후/파손,3,금광동,202406,0.9059462053928623,0.1305173232083531
시설노후/파손,3,단대동,202403,0.9777777777777777,0.3329491612242284
시설노후/파손,3,단대동,202404,0.9136752136752136,0.2945319503137405
시설노후/파손,3,단대동,202405,0.9136752136752136,-0.16647458061211426
시설노후/파손,3,단대동,202406,0.9156954156954158,-0.2817262133435779
시설노후/파손,3,도촌동,202403,0.849780701754386,-0.15042117930204574
시설노후/파손,3,도촌동,202404,0.7285685805422647,-0.315884476534296
시설노후/파손,3,도촌동,202405,0.7910685805422647,-0.12785800240673886
시설노후/파손,3,도촌동,202406,0.8787878787878788,0.18050541516245486
시설노후/파손,3,백현동,202403,0.8815295815295815,0.03439262622093823
시설노후/파손,3,백현동,202404,0.8367965367965368,0.24762690879075525
시설노후/파손,3,백현동,202405,0.8727272727272727,0.4195900398954464
시설노후/파손,3,백현동,202406,0.8326479076479076,-0.06878525244187646
시설노후/파손,3,복정동,202403,0.9444444444444445,0.606826801517067
시설노후/파손,3,복정동,202404,0.8968253968253969,0.2949852507374631
시설노후/파손,3,복정동,202405,0.8968253968253969,0.1685630004214075
시설노후/파손,3,복정동,202406,0.9327731092436974,0.2865571007163928
시설노후/파손,3,분당동,202403,0.8944444444444444,0.34692107545533396
시설노후/파손,3,분당동,202404,0.9166666666666666,0.332466030644695
시설노후/파손,3,분당동,202405,0.9166666666666666,0.5854293148308759
시설노후/파손,3,분당동,202406,0.9722222222222222,0.7516623301532235
