month,dong_cluster,youth_in,youth_out,youth_net,youth_pop,total_pop,monthly_outflow_rate,month_dt,complaint_count,processed_count,processing_days_median,parking_count,parking_share,processed_rate,complaints_per_1000_totalpop_month,negative_net_flag,topic_group,complaint_count_topic,month_cluster_total,topic_share
202403,도촌동,128,97,31,4432,25686,-0.6994584837545126,2024-03-01,14.0,16.0,1.0,3.0,0.1578947368421052,0.8421052631578947,0.7397025617067663,0,시설노후/파손,14.0,19.0,0.7368421052631579
202404,도촌동,94,96,-2,4432,25686,0.04512635379061372,2024-04-01,4.0,9.0,0.0,0.0,0.0,0.8181818181818182,0.42824885151444364,1,불법광고물,4.0,11.0,0.3636363636363636
202404,도촌동,94,96,-2,4432,25686,0.04512635379061372,2024-04-01,7.0,9.0,0.0,0.0,0.0,0.8181818181818182,0.42824885151444364,1,시설노후/파손,7.0,11.0,0.6363636363636364
202405,도촌동,87,99,-12,4432,25686,0.2707581227436823,2024-05-01,8.0,6.0,0.0,0.0,0.0,0.75,0.31145371019232265,1,시설노후/파손,8.0,8.0,1.0
202406,도촌동,77,87,-10,4432,25686,0.22563176895306858,2024-06-01,11.0,3.0,1.0,0.0,0.0,0.2727272727272727,0.42824885151444364,1,시설노후/파손,11.0,11.0,1.0
202401,백현동,129,122,7,4846,26189,-0.14444903012794055,2024-01-01,1.0,21.0,0.0,1.0,0.0476190476190476,1.0,0.8018633777540188,0,불법주정차,1.0,21.0,0.0476190476190476
202401,백현동,129,122,7,4846,26189,-0.14444903012794055,2024-01-01,20.0,21.0,0.0,1.0,0.0476190476190476,1.0,0.8018633777540188,0,시설노후/파손,20.0,21.0,0.9523809523809524
202402,백현동,107,96,11,4846,26189,-0.2269913330581923,2024-02-01,1.0,19.0,0.0,1.0,0.0454545454545454,0.8636363636363636,0.8400473481232579,0,불법주정차,1.0,22.0,0.0454545454545454
202402,백현동,107,96,11,4846,26189,-0.2269913330581923,2024-02-01,2.0,19.0,0.0,1.0,0.0454545454545454,0.8636363636363636,0.8400473481232579,0,생활환경,2.0,22.0,0.0909090909090909
202402,백현동,107,96,11,4846,26189,-0.2269913330581923,2024-02-01,19.0,19.0,0.0,1.0,0.0454545454545454,0.8636363636363636,0.8400473481232579,0,시설노후/파손,19.0,22.0,0.8636363636363636
202403,백현동,109,132,-23,4846,26189,0.4746182418489476,2024-03-01,5.0,32.0,0.0,5.0,0.1428571428571428,0.9142857142857143,1.3364389629233648,1,불법주정차,5.0,35.0,0.1428571428571428
202403,백현동,109,132,-23,4846,26189,0.4746182418489476,2024-03-01,1.0,32.0,0.0,5.0,0.1428571428571428,0.9142857142857143,1.3364389629233648,1,생활환경,1.0,35.0,0.0285714285714285
202403,백현동,109,132,-23,4846,26189,0.4746182418489476,2024-03-01,29.0,32.0,0.0,5.0,0.1428571428571428,0.9142857142857143,1.3364389629233648,1,시설노후/파손,29.0,35.0,0.8285714285714286
202404,백현동,82,106,-24,4846,26189,0.4952538175815105,2024-04-01,1.0,31.0,0.0,5.0,0.1515151515151515,0.9393939393939394,1.2600710221848868,1,불법광고물,1.0,33.0,0.0303030303030303
202404,백현동,82,106,-24,4846,26189,0.4952538175815105,2024-04-01,5.0,31.0,0.0,5.0,0.1515151515151515,0.9393939393939394,1.2600710221848868,1,불법주정차,5.0,33.0,0.1515151515151515
202404,백현동,82,106,-24,4846,26189,0.4952538175815105,2024-04-01,27.0,31.0,0.0,5.0,0.1515151515151515,0.9393939393939394,1.2600710221848868,1,시설노후/파손,27.0,33.0,0.8181818181818182
202405,백현동,98,112,-14,4846,26189,0.2888980602558811,2024-05-01,3.0,94.0,0.0,3.0,0.0285714285714285,0.8952380952380953,4.009316888770095,1,불법주정차,3.0,105.0,0.0285714285714285
202405,백현동,98,112,-14,4846,26189,0.2888980602558811,2024-05-01,102.0,94.0,0.0,3.0,0.0285714285714285,0.8952380952380953,4.009316888770095,1,시설노후/파손,102.0,105.0,0.9714285714285714
202406,백현동,107,59,48,4846,26189,-0.990507635163021,2024-06-01,1.0,19.0,0.0,4.0,0.1666666666666666,0.7916666666666666,0.9164152888617358,0,불법광고물,1.0,24.0,0.0416666666666666
202406,백현동,107,59,48,4846,26189,-0.990507635163021,2024-06-01,4.0,19.0,0.0,4.0,0.1666666666666666,0.7916666666666666,0.9164152888617358,0,불법주정차,4.0,24.0,0.1666666666666666
202406,백현동,107,59,48,4846,26189,-0.990507635163021,2024-06-01,2.0,19.0,0.0,4.0,0.1666666666666666,0.7916666666666666,0.9164152888617358,0,생활환경,2.0,24.0,0.0833333333333333
