month,dong_cluster,topic_group,complaint_count,month_cluster_total,topic_share
202403,하대원동,불법광고물,1,47,0.02127659574468085
202403,하대원동,불법주정차,2,47,0.0425531914893617
202403,하대원동,생활환경,1,47,0.02127659574468085
202403,하대원동,시설노후/파손,43,47,0.9148936170212766
202404,고등동,시설노후/파손,9,9,1.0
202404,구미동,불법광고물,3,23,0.13043478260869565
202404,구미동,불법주정차,1,23,0.043478260869565216
202404,구미동,시설노후/파손,19,23,0.8260869565217391
202404,궁내동,불법주정차,1,9,0.1111111111111111
202404,궁내동,시설노후/파손,8,9,0.8888888888888888
202404,금곡동,불법광고물,1,33,0.030303030303030304
202404,금곡동,불법주정차,6,33,0.18181818181818182
202404,금곡동,생활환경,2,33,0.06060606060606061
202404,금곡동,시설노후/파손,24,33,0.7272727272727273
202404,금광동,불법광고물,1,123,0.008130081300813009
202404,금광동,불법주정차,14,123,0.11382113821138211
202404,금광동,생활환경,2,123,0.016260162601626018
202404,금광동,시설노후/파손,106,123,0.8617886178861789
202404,금토동,불법주정차,1,5,0.2
202404,금토동,시설노후/파손,4,5,0.8
202404,단대동,불법주정차,5,26,0.19230769230769232
202404,단대동,시설노후/파손,21,26,0.8076923076923077
202404,대장동,시설노후/파손,13,13,1.0
202404,도촌동,불법광고물,4,11,0.36363636363636365
202404,도촌동,시설노후/파손,7,11,0.6363636363636364
202404,동원동,불법주정차,1,4,0.25
202404,동원동,시설노후/파손,3,4,0.75
202404,백현동,불법광고물,1,33,0.030303030303030304
202404,백현동,불법주정차,5,33,0.15151515151515152
202404,백현동,시설노후/파손,27,33,0.8181818181818182
202404,복정동,불법주정차,4,35,0.11428571428571428
202404,복정동,생활환경,1,35,0.02857142857142857
202404,복정동,시설노후/파손,30,35,0.8571428571428571
202404,분당동,시설노후/파손,13,13,1.0
202404,산성동,불법주정차,1,4,0.25
202404,산성동,시설노후/파손,3,4,0.75
202404,삼평동,불법주정차,5,36,0.1388888888888889
202404,삼평동,시설노후/파손,31,36,0.8611111111111112
202404,상대원동,불법주정차,5,99,0.050505050505050504
202404,상대원동,시설노후/파손,94,99,0.9494949494949495
202404,상적동,시설노후/파손,3,3,1.0
202404,서현동,불법광고물,2,69,0.028985507246376812
202404,서현동,시설노후/파손,67,69,0.9710144927536232
202404,성남동,불법광고물,1,196,0.00510204081632653
202404,성남동,불법주정차,8,196,0.04081632653061224
202404,성남동,시설노후/파손,187,196,0.9540816326530612
202404,수내동,공원/녹지,1,39,0.02564102564102564
202404,수내동,불법주정차,2,39,0.05128205128205128
202404,수내동,시설노후/파손,36,39,0.9230769230769231
202404,수진동,불법광고물,1,49,0.02040816326530612
202404,수진동,불법주정차,3,49,0.061224489795918366
202404,수진동,시설노후/파손,45,49,0.9183673469387755
202404,시흥동,불법주정차,1,10,0.1
202404,시흥동,시설노후/파손,9,10,0.9
202404,신흥동,공원/녹지,1,32,0.03125
202404,신흥동,불법광고물,1,32,0.03125
202404,신흥동,시설노후/파손,30,32,0.9375
202404,심곡동,시설노후/파손,45,45,1.0
202404,야탑동,불법광고물,1,51,0.0196078431372549
202404,야탑동,생활환경,1,51,0.0196078431372549
202404,야탑동,시설노후/파손,49,51,0.9607843137254902
202404,양지동,공원/녹지,1,8,0.125
202404,양지동,생활환경,3,8,0.375
202404,양지동,시설노후/파손,4,8,0.5
202404,여수동,시설노후/파손,31,31,1.0
202404,오야동,시설노후/파손,5,5,1.0
202404,운중동,불법주정차,2,22,0.09090909090909091
202404,운중동,시설노후/파손,20,22,0.9090909090909091
202404,은행동,시설노후/파손,79,79,1.0
202404,이매동,불법광고물,1,12,0.08333333333333333
202404,이매동,불법주정차,1,12,0.08333333333333333
202404,이매동,시설노후/파손,10,12,0.8333333333333334
202404,정자동,불법광고물,4,74,0.05405405405405406
202404,정자동,생활환경,1,74,0.013513513513513514
